class,Debt ratio %,Current Liability to Current Assets,Cash Flow to Liability,Net Income to Total Assets,Fixed Assets to Assets
1,0.207576261450555,0.11825047660899,0.3090274830958025,0.569783766933461,0.424205762216667
1,0.171176346101521,0.0477752815903248,0.30863557746852155,0.491331974108253,0.468828128338473
1,0.207515796474892,0.0253464891288078,0.30838259521850253,0.511959413161485,0.276179222234543
1,0.151464764035432,0.0672496172630687,0.3191187191386625,0.547074584993227,0.559143963323496
1,0.106509054630105,0.0477253717624306,0.31322569884331153,0.491613237515508,0.309554916594047
1,0.180427487377936,0.099521933114496,0.30913733776329055,0.57620861505034,0.603193479638275
1,0.219608791607461,0.0658158530780964,0.30995561126671456,0.536198270904415,0.282042669898768
1,0.228890165371708,0.124882710179452,0.30796199956555353,0.499547547960017,0.669737403553366
1,0.210357650331046,0.0864583230327093,0.30840386968341155,0.50953464372033,0.402247745883712
1,0.23529945279197,0.094806220340148,0.30833523925423256,0.49464686518038703,0.25943793314364
1,0.321371345648033,0.06528574912897,0.30334934442321854,0.760978158080052,0.222814961750776
1,0.221452973365178,0.0833577878116932,0.31037813924702656,0.540043113205141,0.374422367534238
1,0.185083290503976,0.0439461340828879,0.30842149787973455,0.517311079634088,0.0748054542115846
1,0.19176467031472,0.0487365667821687,0.30898478928564455,0.48158787280109305,0.393632716206475
1,0.196390240952928,0.078173592922719,0.30782208841726055,0.49014590688120097,0.669046743002893
1,0.162046134776431,0.0571534386203858,0.30817160622891654,0.501980171007626,0.427835710834537
1,0.189739093630015,0.0453537157214047,0.30702220152132853,0.497229565208299,0.136910722671915
1,0.16479729116909,0.0391912796452419,0.30911488335117554,0.514632735569244,0.174530715442068
1,0.175076337031774,0.0387532463325531,0.3085999561769395,0.48681520096862896,0.309954849965965
1,0.201227439005956,0.0443787275095875,0.30931528301631256,0.503691113672101,0.268204795060692
1,0.181848414306013,0.105306062091276,0.3085691119914765,0.517058451556083,0.405607277738996
1,0.190464673337969,0.0765427077990255,0.30854103522456255,0.515920098239488,0.534349951748196
1,0.200320464371013,0.0779619705719493,0.30850703219422954,0.578873297145656,0.422192128072037
1,0.132055506847658,0.0584597007693554,0.31342555204429356,0.48690902014235904,0.710597970712992
1,0.196934425733894,0.122531571392884,0.30840264312055854,0.540634014608398,0.677768509804615
1,0.199685582126553,0.0701850635944305,0.30719928792188156,0.572327416746722,0.564929087783928
1,0.175953079178886,0.0705742009923617,0.30861657061899755,0.520081006398224,0.152288189025335
1,0.219971581461438,0.0463496978563809,0.30746211790853156,0.467841140828545,0.241254966098155
1,0.246576170753091,0.0852990675271157,0.30844135170108555,0.522340083898337,0.307354717951981
1,0.293708619282281,0.0987470693557686,0.30984455996470756,0.744303500528444,0.60380661969061
1,0.175439126885751,0.0221034854776763,0.3088221960885195,0.49891376499425,0.0401000650185383
1,0.211446019892977,0.0777503376545122,0.30929198240325056,0.545234038603059,0.284550101289883
1,0.231883181667019,0.0550760795105277,0.30857108091302854,0.487666049762538,0.471796825185696
1,0.18496236055265,0.142964133523744,0.30862794565288254,0.557980169605906,0.693786158196553
1,0.256976146567101,0.0848974024927139,0.30795203089124956,0.546747527033125,0.171747923985192
1,0.167518215073918,0.065865965620446,0.31016954946680053,0.49453727024526195,0.500406748621874
1,0.215648335701545,0.0405660859645873,0.30945302921247153,0.541528166826294,0.0170314511729397
1,0.196964658221725,0.0334324910953421,0.30945174428936956,0.487127568731912,0.0434414672965174
1,0.206125102034646,0.0516132981351731,0.30834457476290755,0.48505294719978,0.445033415055863
1,0.19218792514436,0.0366234269323879,0.30872987815455555,0.491207506714214,0.115718753037652
1,0.116818332980621,0.0423662743739661,0.3123952217899805,0.54912578760777,0.411391754456253
1,0.176799588838165,0.0396237480736213,0.30806474190071254,0.495326596452615,0.186118931746172
1,0.188227469238444,0.0388769542045089,0.30722780268541655,0.515929759732181,0.668370516691073
1,0.244731988995374,0.189435462974959,0.30897560260240753,0.557950708491622,0.695297606459008
1,0.168243794781873,0.0750650238692729,0.30889409886350355,0.48833084066800503,0.493287124457878
1,0.153974060525441,0.0424904009196875,0.30382485190159353,0.524874087914585,0.0750574696959812
1,0.236418054841733,0.0845608316360967,0.3084448584855005,0.523489568015596,0.586725067081089
1,0.185143755479638,0.0257860334262546,0.30895826611664057,0.48395534019238495,0.101317969752307
1,0.13399038606887,0.0855289344710275,0.30981323402377253,0.536152125921457,0.501720486452107
1,0.0010883695619312,0.0025070197750363,0.6020895512808565,0.518701504953118,0.467763034009029
1,0.1730809928349,0.0388778614770842,0.3079944326734295,0.516934802900036,0.458432064235098
1,0.175348429422257,0.0703850107028059,0.30842578987478053,0.48867303310880406,0.506102951477829
1,0.207485563987061,0.0488064153273016,0.30875958202518056,0.480205830577523,0.628040880954024
1,0.158660096139311,0.0846852376385221,0.3146816445482655,0.585521734728374,0.65834086447552
1,0.204039060374278,0.11510860370822,0.30858631225798255,0.49067268591648805,0.651676958110777
1,0.187380959579164,0.0390563841071208,0.30673790539240053,0.510278852211055,0.597787759120153
